action_const,resource_const,action_class,superclass,classification,auth_effective,auth,route,http_method,blocking,file,line_start,line_end,applies_to_resource_file,desc,allow_conditions,restrict_lines,input_whitelist,input_blacklist,output_whitelist,output_blacklist,runtime_checks,authorize_blocks,authorize_effective,parent_resource_const
VpsAdmin::API::Resources::Oauth2Client::Index,VpsAdmin::API::Resources::Oauth2Client,Index,HaveAPI::Actions::Default::Index,admin_only,True,True,,,False,api/lib/vpsadmin/api/resources/oauth2_client.rb,29,51,,,"[""u.role == :admin""]",[],[],[],[],[],[],"[{""file"": ""api/lib/vpsadmin/api/resources/oauth2_client.rb"", ""kind"": ""inclass"", ""line_end"": 38, ""line_start"": 36, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n      end""}]","{""file"": ""api/lib/vpsadmin/api/resources/oauth2_client.rb"", ""kind"": ""inclass"", ""line_end"": 38, ""line_start"": 36, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n      end""}",
VpsAdmin::API::Resources::Oauth2Client::Show,VpsAdmin::API::Resources::Oauth2Client,Show,HaveAPI::Actions::Default::Show,admin_only,True,True,,,False,api/lib/vpsadmin/api/resources/oauth2_client.rb,53,71,,,"[""u.role == :admin""]",[],[],[],[],[],[],"[{""file"": ""api/lib/vpsadmin/api/resources/oauth2_client.rb"", ""kind"": ""inclass"", ""line_end"": 62, ""line_start"": 60, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n      end""}]","{""file"": ""api/lib/vpsadmin/api/resources/oauth2_client.rb"", ""kind"": ""inclass"", ""line_end"": 62, ""line_start"": 60, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n      end""}",
VpsAdmin::API::Resources::Oauth2Client::Update,VpsAdmin::API::Resources::Oauth2Client,Update,HaveAPI::Actions::Default::Update,admin_only,True,True,,,False,api/lib/vpsadmin/api/resources/oauth2_client.rb,104,128,,,"[""u.role == :admin""]",[],[],[],[],[],[],"[{""file"": ""api/lib/vpsadmin/api/resources/oauth2_client.rb"", ""kind"": ""inclass"", ""line_end"": 115, ""line_start"": 113, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n      end""}]","{""file"": ""api/lib/vpsadmin/api/resources/oauth2_client.rb"", ""kind"": ""inclass"", ""line_end"": 115, ""line_start"": 113, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n      end""}",
VpsAdmin::API::Resources::ObjectHistory::Index,VpsAdmin::API::Resources::ObjectHistory,Index,HaveAPI::Actions::Default::Index,authenticated,True,True,,,False,api/lib/vpsadmin/api/resources/object_history.rb,21,58,,,"[""u.role == :admin"", ""(allow)""]","[""user: u""]",[],"[""user""]",[],[],[],"[{""file"": ""api/lib/vpsadmin/api/resources/object_history.rb"", ""kind"": ""inclass"", ""line_end"": 37, ""line_start"": 32, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n        restrict user: u\n        input blacklist: %i[user]\n        allow\n      end""}]","{""file"": ""api/lib/vpsadmin/api/resources/object_history.rb"", ""kind"": ""inclass"", ""line_end"": 37, ""line_start"": 32, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n        restrict user: u\n        input blacklist: %i[user]\n        allow\n      end""}",
VpsAdmin::API::Resources::ObjectHistory::Show,VpsAdmin::API::Resources::ObjectHistory,Show,HaveAPI::Actions::Default::Show,authenticated,True,True,,,False,api/lib/vpsadmin/api/resources/object_history.rb,60,82,,,"[""u.role == :admin"", ""(allow)""]","[""user: u""]",[],[],[],[],[],"[{""file"": ""api/lib/vpsadmin/api/resources/object_history.rb"", ""kind"": ""inclass"", ""line_end"": 71, ""line_start"": 67, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n        restrict user: u\n        allow\n      end""}]","{""file"": ""api/lib/vpsadmin/api/resources/object_history.rb"", ""kind"": ""inclass"", ""line_end"": 71, ""line_start"": 67, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n        restrict user: u\n        allow\n      end""}",
VpsAdmin::API::Resources::OomReport::Index,VpsAdmin::API::Resources::OomReport,Index,HaveAPI::Actions::Default::Index,owner_or_admin,True,True,,,False,api/lib/vpsadmin/api/resources/oom_report.rb,32,89,,,"[""u.role == :admin"", ""(allow)""]","[""vpses: { user_id: u.id }""]",[],"[""user""]",[],[],[],"[{""file"": ""api/lib/vpsadmin/api/resources/oom_report.rb"", ""kind"": ""inclass"", ""line_end"": 48, ""line_start"": 43, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n        restrict vpses: { user_id: u.id }\n        input blacklist: %i[user]\n        allow\n      end""}]","{""file"": ""api/lib/vpsadmin/api/resources/oom_report.rb"", ""kind"": ""inclass"", ""line_end"": 48, ""line_start"": 43, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n        restrict vpses: { user_id: u.id }\n        input blacklist: %i[user]\n        allow\n      end""}",
VpsAdmin::API::Resources::OomReport::Show,VpsAdmin::API::Resources::OomReport,Show,HaveAPI::Actions::Default::Show,owner_or_admin,True,True,,,False,api/lib/vpsadmin/api/resources/oom_report.rb,91,111,,,"[""u.role == :admin"", ""(allow)""]","[""vpses: { user_id: u.id }""]",[],[],[],[],[],"[{""file"": ""api/lib/vpsadmin/api/resources/oom_report.rb"", ""kind"": ""inclass"", ""line_end"": 102, ""line_start"": 98, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n        restrict vpses: { user_id: u.id }\n        allow\n      end""}]","{""file"": ""api/lib/vpsadmin/api/resources/oom_report.rb"", ""kind"": ""inclass"", ""line_end"": 102, ""line_start"": 98, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n        restrict vpses: { user_id: u.id }\n        allow\n      end""}",
VpsAdmin::API::Resources::OomReport::Stat::Index,VpsAdmin::API::Resources::OomReport::Stat,Index,HaveAPI::Actions::Default::Index,owner_or_admin,True,True,,,False,api/lib/vpsadmin/api/resources/oom_report.rb,191,217,,,"[""u.role == :admin"", ""(allow)""]","[""vpses: { user_id: u.id }""]",[],[],[],[],[],"[{""file"": ""api/lib/vpsadmin/api/resources/oom_report.rb"", ""kind"": ""inclass"", ""line_end"": 202, ""line_start"": 198, ""snippet"": ""        authorize do |u|\n          allow if u.role == :admin\n          restrict vpses: { user_id: u.id }\n          allow\n        end""}]","{""file"": ""api/lib/vpsadmin/api/resources/oom_report.rb"", ""kind"": ""inclass"", ""line_end"": 202, ""line_start"": 198, ""snippet"": ""        authorize do |u|\n          allow if u.role == :admin\n          restrict vpses: { user_id: u.id }\n          allow\n        end""}",
VpsAdmin::API::Resources::OomReport::Stat::Show,VpsAdmin::API::Resources::OomReport::Stat,Show,HaveAPI::Actions::Default::Show,owner_or_admin,True,True,,,False,api/lib/vpsadmin/api/resources/oom_report.rb,219,242,,,"[""u.role == :admin"", ""(allow)""]","[""vpses: { user_id: u.id }""]",[],[],[],[],[],"[{""file"": ""api/lib/vpsadmin/api/resources/oom_report.rb"", ""kind"": ""inclass"", ""line_end"": 230, ""line_start"": 226, ""snippet"": ""        authorize do |u|\n          allow if u.role == :admin\n          restrict vpses: { user_id: u.id }\n          allow\n        end""}]","{""file"": ""api/lib/vpsadmin/api/resources/oom_report.rb"", ""kind"": ""inclass"", ""line_end"": 230, ""line_start"": 226, ""snippet"": ""        authorize do |u|\n          allow if u.role == :admin\n          restrict vpses: { user_id: u.id }\n          allow\n        end""}",
VpsAdmin::API::Resources::OomReport::Task::Index,VpsAdmin::API::Resources::OomReport::Task,Index,HaveAPI::Actions::Default::Index,owner_or_admin,True,True,,,False,api/lib/vpsadmin/api/resources/oom_report.rb,267,293,,,"[""u.role == :admin"", ""(allow)""]","[""vpses: { user_id: u.id }""]",[],[],[],[],[],"[{""file"": ""api/lib/vpsadmin/api/resources/oom_report.rb"", ""kind"": ""inclass"", ""line_end"": 278, ""line_start"": 274, ""snippet"": ""        authorize do |u|\n          allow if u.role == :admin\n          restrict vpses: { user_id: u.id }\n          allow\n        end""}]","{""file"": ""api/lib/vpsadmin/api/resources/oom_report.rb"", ""kind"": ""inclass"", ""line_end"": 278, ""line_start"": 274, ""snippet"": ""        authorize do |u|\n          allow if u.role == :admin\n          restrict vpses: { user_id: u.id }\n          allow\n        end""}",
VpsAdmin::API::Resources::OomReport::Task::Show,VpsAdmin::API::Resources::OomReport::Task,Show,HaveAPI::Actions::Default::Show,owner_or_admin,True,True,,,False,api/lib/vpsadmin/api/resources/oom_report.rb,295,318,,,"[""u.role == :admin"", ""(allow)""]","[""vpses: { user_id: u.id }""]",[],[],[],[],[],"[{""file"": ""api/lib/vpsadmin/api/resources/oom_report.rb"", ""kind"": ""inclass"", ""line_end"": 306, ""line_start"": 302, ""snippet"": ""        authorize do |u|\n          allow if u.role == :admin\n          restrict vpses: { user_id: u.id }\n          allow\n        end""}]","{""file"": ""api/lib/vpsadmin/api/resources/oom_report.rb"", ""kind"": ""inclass"", ""line_end"": 306, ""line_start"": 302, ""snippet"": ""        authorize do |u|\n          allow if u.role == :admin\n          restrict vpses: { user_id: u.id }\n          allow\n        end""}",
VpsAdmin::API::Resources::OomReport::Usage::Index,VpsAdmin::API::Resources::OomReport::Usage,Index,HaveAPI::Actions::Default::Index,owner_or_admin,True,True,,,False,api/lib/vpsadmin/api/resources/oom_report.rb,126,152,,,"[""u.role == :admin"", ""(allow)""]","[""vpses: { user_id: u.id }""]",[],[],[],[],[],"[{""file"": ""api/lib/vpsadmin/api/resources/oom_report.rb"", ""kind"": ""inclass"", ""line_end"": 137, ""line_start"": 133, ""snippet"": ""        authorize do |u|\n          allow if u.role == :admin\n          restrict vpses: { user_id: u.id }\n          allow\n        end""}]","{""file"": ""api/lib/vpsadmin/api/resources/oom_report.rb"", ""kind"": ""inclass"", ""line_end"": 137, ""line_start"": 133, ""snippet"": ""        authorize do |u|\n          allow if u.role == :admin\n          restrict vpses: { user_id: u.id }\n          allow\n        end""}",
VpsAdmin::API::Resources::OomReport::Usage::Show,VpsAdmin::API::Resources::OomReport::Usage,Show,HaveAPI::Actions::Default::Show,owner_or_admin,True,True,,,False,api/lib/vpsadmin/api/resources/oom_report.rb,154,177,,,"[""u.role == :admin"", ""(allow)""]","[""vpses: { user_id: u.id }""]",[],[],[],[],[],"[{""file"": ""api/lib/vpsadmin/api/resources/oom_report.rb"", ""kind"": ""inclass"", ""line_end"": 165, ""line_start"": 161, ""snippet"": ""        authorize do |u|\n          allow if u.role == :admin\n          restrict vpses: { user_id: u.id }\n          allow\n        end""}]","{""file"": ""api/lib/vpsadmin/api/resources/oom_report.rb"", ""kind"": ""inclass"", ""line_end"": 165, ""line_start"": 161, ""snippet"": ""        authorize do |u|\n          allow if u.role == :admin\n          restrict vpses: { user_id: u.id }\n          allow\n        end""}",
VpsAdmin::API::Resources::OomReportRule::Create,VpsAdmin::API::Resources::OomReportRule,Create,HaveAPI::Actions::Default::Create,authenticated,True,True,,,False,api/lib/vpsadmin/api/resources/oom_report_rule.rb,69,101,,,"[""(allow)""]",[],[],[],[],[],"[{""code"": ""error!('access denied')"", ""line"": 90}]","[{""file"": ""api/lib/vpsadmin/api/resources/oom_report_rule.rb"", ""kind"": ""inclass"", ""line_end"": 86, ""line_start"": 84, ""snippet"": ""      authorize do |_u|\n        allow\n      end""}]","{""file"": ""api/lib/vpsadmin/api/resources/oom_report_rule.rb"", ""kind"": ""inclass"", ""line_end"": 86, ""line_start"": 84, ""snippet"": ""      authorize do |_u|\n        allow\n      end""}",
VpsAdmin::API::Resources::OomReportRule::Delete,VpsAdmin::API::Resources::OomReportRule,Delete,HaveAPI::Actions::Default::Delete,owner_or_admin,True,True,,,False,api/lib/vpsadmin/api/resources/oom_report_rule.rb,125,138,,,"[""u.role == :admin"", ""(allow)""]","[""vpses: { user_id: u.id }""]",[],[],[],[],[],"[{""file"": ""api/lib/vpsadmin/api/resources/oom_report_rule.rb"", ""kind"": ""inclass"", ""line_end"": 132, ""line_start"": 128, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n        restrict vpses: { user_id: u.id }\n        allow\n      end""}]","{""file"": ""api/lib/vpsadmin/api/resources/oom_report_rule.rb"", ""kind"": ""inclass"", ""line_end"": 132, ""line_start"": 128, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n        restrict vpses: { user_id: u.id }\n        allow\n      end""}",
VpsAdmin::API::Resources::OomReportRule::Index,VpsAdmin::API::Resources::OomReportRule,Index,HaveAPI::Actions::Default::Index,owner_or_admin,True,True,,,False,api/lib/vpsadmin/api/resources/oom_report_rule.rb,21,49,,,"[""u.role == :admin"", ""(allow)""]","[""vpses: { user_id: u.id }""]",[],[],[],[],[],"[{""file"": ""api/lib/vpsadmin/api/resources/oom_report_rule.rb"", ""kind"": ""inclass"", ""line_end"": 34, ""line_start"": 30, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n        restrict vpses: { user_id: u.id }\n        allow\n      end""}]","{""file"": ""api/lib/vpsadmin/api/resources/oom_report_rule.rb"", ""kind"": ""inclass"", ""line_end"": 34, ""line_start"": 30, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n        restrict vpses: { user_id: u.id }\n        allow\n      end""}",
VpsAdmin::API::Resources::OomReportRule::Show,VpsAdmin::API::Resources::OomReportRule,Show,HaveAPI::Actions::Default::Show,owner_or_admin,True,True,,,False,api/lib/vpsadmin/api/resources/oom_report_rule.rb,51,67,,,"[""u.role == :admin"", ""(allow)""]","[""vpses: { user_id: u.id }""]",[],[],[],[],[],"[{""file"": ""api/lib/vpsadmin/api/resources/oom_report_rule.rb"", ""kind"": ""inclass"", ""line_end"": 62, ""line_start"": 58, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n        restrict vpses: { user_id: u.id }\n        allow\n      end""}]","{""file"": ""api/lib/vpsadmin/api/resources/oom_report_rule.rb"", ""kind"": ""inclass"", ""line_end"": 62, ""line_start"": 58, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n        restrict vpses: { user_id: u.id }\n        allow\n      end""}",
VpsAdmin::API::Resources::OomReportRule::Update,VpsAdmin::API::Resources::OomReportRule,Update,HaveAPI::Actions::Default::Update,owner_or_admin,True,True,,,False,api/lib/vpsadmin/api/resources/oom_report_rule.rb,103,123,,,"[""u.role == :admin"", ""(allow)""]","[""vpses: { user_id: u.id }""]",[],[],[],[],[],"[{""file"": ""api/lib/vpsadmin/api/resources/oom_report_rule.rb"", ""kind"": ""inclass"", ""line_end"": 118, ""line_start"": 114, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n        restrict vpses: { user_id: u.id }\n        allow\n      end""}]","{""file"": ""api/lib/vpsadmin/api/resources/oom_report_rule.rb"", ""kind"": ""inclass"", ""line_end"": 118, ""line_start"": 114, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n        restrict vpses: { user_id: u.id }\n        allow\n      end""}",
VpsAdmin::API::Resources::OsFamily::Create,VpsAdmin::API::Resources::OsFamily,Create,HaveAPI::Actions::Default::Create,admin_only,True,True,,,False,api/lib/vpsadmin/api/resources/os_family.rb,58,76,,,"[""u.role == :admin""]",[],[],[],[],[],[],"[{""file"": ""api/lib/vpsadmin/api/resources/os_family.rb"", ""kind"": ""inclass"", ""line_end"": 69, ""line_start"": 67, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n      end""}]","{""file"": ""api/lib/vpsadmin/api/resources/os_family.rb"", ""kind"": ""inclass"", ""line_end"": 69, ""line_start"": 67, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n      end""}",
VpsAdmin::API::Resources::OsFamily::Delete,VpsAdmin::API::Resources::OsFamily,Delete,HaveAPI::Actions::Default::Delete,admin_only,True,True,,,False,api/lib/vpsadmin/api/resources/os_family.rb,98,107,,,"[""u.role == :admin""]",[],[],[],[],[],[],"[{""file"": ""api/lib/vpsadmin/api/resources/os_family.rb"", ""kind"": ""inclass"", ""line_end"": 101, ""line_start"": 99, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n      end""}]","{""file"": ""api/lib/vpsadmin/api/resources/os_family.rb"", ""kind"": ""inclass"", ""line_end"": 101, ""line_start"": 99, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n      end""}",
VpsAdmin::API::Resources::OsFamily::Index,VpsAdmin::API::Resources::OsFamily,Index,HaveAPI::Actions::Default::Index,authenticated,True,True,,,False,api/lib/vpsadmin/api/resources/os_family.rb,16,38,,,"[""(allow)""]",[],[],[],[],[],[],"[{""file"": ""api/lib/vpsadmin/api/resources/os_family.rb"", ""kind"": ""inclass"", ""line_end"": 25, ""line_start"": 23, ""snippet"": ""      authorize do |_u|\n        allow\n      end""}]","{""file"": ""api/lib/vpsadmin/api/resources/os_family.rb"", ""kind"": ""inclass"", ""line_end"": 25, ""line_start"": 23, ""snippet"": ""      authorize do |_u|\n        allow\n      end""}",
VpsAdmin::API::Resources::OsFamily::Show,VpsAdmin::API::Resources::OsFamily,Show,HaveAPI::Actions::Default::Show,authenticated,True,True,,,False,api/lib/vpsadmin/api/resources/os_family.rb,40,56,,,"[""(allow)""]",[],[],[],[],[],[],"[{""file"": ""api/lib/vpsadmin/api/resources/os_family.rb"", ""kind"": ""inclass"", ""line_end"": 47, ""line_start"": 45, ""snippet"": ""      authorize do |_u|\n        allow\n      end""}]","{""file"": ""api/lib/vpsadmin/api/resources/os_family.rb"", ""kind"": ""inclass"", ""line_end"": 47, ""line_start"": 45, ""snippet"": ""      authorize do |_u|\n        allow\n      end""}",
VpsAdmin::API::Resources::OsFamily::Update,VpsAdmin::API::Resources::OsFamily,Update,HaveAPI::Actions::Default::Update,admin_only,True,True,,,False,api/lib/vpsadmin/api/resources/os_family.rb,78,96,,,"[""u.role == :admin""]",[],[],[],[],[],[],"[{""file"": ""api/lib/vpsadmin/api/resources/os_family.rb"", ""kind"": ""inclass"", ""line_end"": 89, ""line_start"": 87, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n      end""}]","{""file"": ""api/lib/vpsadmin/api/resources/os_family.rb"", ""kind"": ""inclass"", ""line_end"": 89, ""line_start"": 87, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n      end""}",
VpsAdmin::API::Resources::OsTemplate::Create,VpsAdmin::API::Resources::OsTemplate,Create,HaveAPI::Actions::Default::Create,admin_only,True,True,,,False,api/lib/vpsadmin/api/resources/os_template.rb,124,154,,,"[""u.role == :admin""]",[],[],[],[],[],[],"[{""file"": ""api/lib/vpsadmin/api/resources/os_template.rb"", ""kind"": ""inclass"", ""line_end"": 143, ""line_start"": 141, ""snippet"": ""    authorize do |u|\n      allow if u.role == :admin\n    end""}]","{""file"": ""api/lib/vpsadmin/api/resources/os_template.rb"", ""kind"": ""inclass"", ""line_end"": 143, ""line_start"": 141, ""snippet"": ""    authorize do |u|\n      allow if u.role == :admin\n    end""}",
VpsAdmin::API::Resources::OsTemplate::Delete,VpsAdmin::API::Resources::OsTemplate,Delete,HaveAPI::Actions::Default::Delete,admin_only,True,True,,,False,api/lib/vpsadmin/api/resources/os_template.rb,180,192,,,"[""u.role == :admin""]",[],[],[],[],[],[],"[{""file"": ""api/lib/vpsadmin/api/resources/os_template.rb"", ""kind"": ""inclass"", ""line_end"": 183, ""line_start"": 181, ""snippet"": ""    authorize do |u|\n      allow if u.role == :admin\n    end""}]","{""file"": ""api/lib/vpsadmin/api/resources/os_template.rb"", ""kind"": ""inclass"", ""line_end"": 183, ""line_start"": 181, ""snippet"": ""    authorize do |u|\n      allow if u.role == :admin\n    end""}",
VpsAdmin::API::Resources::OsTemplate::Index,VpsAdmin::API::Resources::OsTemplate,Index,HaveAPI::Actions::Default::Index,public,False,True,,,False,api/lib/vpsadmin/api/resources/os_template.rb,36,100,,,"[""u && u.role == :admin"", ""(allow)""]","[""enabled: true"", ""enabled: true, supported: true""]",[],[],[],[],[],"[{""file"": ""api/lib/vpsadmin/api/resources/os_template.rb"", ""kind"": ""inclass"", ""line_end"": 55, ""line_start"": 48, ""snippet"": ""    authorize do |u|\n      allow if u.role == :admin\n      restrict enabled: true\n      output whitelist: %i[id name label info supported hypervisor_type cgroup_version\n                           vendor variant arch distribution version os_family\n                           enable_script enable_cloud_init]\n      allow\n    end""}, {""file"": ""plugins/requests/api/resources/override.rb"", ""kind"": ""override"", ""line_end"": 31, ""line_start"": 16, ""snippet"": ""  OsTemplate::Index.authorize do |u|\n    allow if u && u.role == :admin\n\n    if u\n      restrict enabled: true\n      output whitelist: %i[id name label info supported hypervisor_type cgroup_version\n                           vendor variant arch distribution version os_family\n                           enable_script enable_cloud_init]\n\n    else\n      restrict enabled: true, supported: true\n      output whitelist: %i[id name label hypervisor_type]\n    end\n\n    allow\n  end""}]","{""file"": ""plugins/requests/api/resources/override.rb"", ""kind"": ""override"", ""line_end"": 31, ""line_start"": 16, ""snippet"": ""  OsTemplate::Index.authorize do |u|\n    allow if u && u.role == :admin\n\n    if u\n      restrict enabled: true\n      output whitelist: %i[id name label info supported hypervisor_type cgroup_version\n                           vendor variant arch distribution version os_family\n                           enable_script enable_cloud_init]\n\n    else\n      restrict enabled: true, supported: true\n      output whitelist: %i[id name label hypervisor_type]\n    end\n\n    allow\n  end""}",
VpsAdmin::API::Resources::OsTemplate::Show,VpsAdmin::API::Resources::OsTemplate,Show,HaveAPI::Actions::Default::Show,authenticated,True,True,,,False,api/lib/vpsadmin/api/resources/os_template.rb,102,122,,,"[""u.role == :admin"", ""(allow)""]",[],[],[],"[""id"", ""name"", ""label"", ""info"", ""supported"", ""enabled"", ""hypervisor_type"", ""cgroup_version"", ""vendor"", ""variant"", ""arch"", ""distribution"", ""version"", ""os_family"", ""enable_script"", ""enable_cloud_init""]",[],[],"[{""file"": ""api/lib/vpsadmin/api/resources/os_template.rb"", ""kind"": ""inclass"", ""line_end"": 113, ""line_start"": 107, ""snippet"": ""    authorize do |u|\n      allow if u.role == :admin\n      output whitelist: %i[id name label info supported enabled hypervisor_type cgroup_version\n                           vendor variant arch distribution version os_family\n                           enable_script enable_cloud_init]\n      allow\n    end""}]","{""file"": ""api/lib/vpsadmin/api/resources/os_template.rb"", ""kind"": ""inclass"", ""line_end"": 113, ""line_start"": 107, ""snippet"": ""    authorize do |u|\n      allow if u.role == :admin\n      output whitelist: %i[id name label info supported enabled hypervisor_type cgroup_version\n                           vendor variant arch distribution version os_family\n                           enable_script enable_cloud_init]\n      allow\n    end""}",
VpsAdmin::API::Resources::OsTemplate::Update,VpsAdmin::API::Resources::OsTemplate,Update,HaveAPI::Actions::Default::Update,admin_only,True,True,,,False,api/lib/vpsadmin/api/resources/os_template.rb,156,178,,,"[""u.role == :admin""]",[],[],[],[],[],[],"[{""file"": ""api/lib/vpsadmin/api/resources/os_template.rb"", ""kind"": ""inclass"", ""line_end"": 167, ""line_start"": 165, ""snippet"": ""    authorize do |u|\n      allow if u.role == :admin\n    end""}]","{""file"": ""api/lib/vpsadmin/api/resources/os_template.rb"", ""kind"": ""inclass"", ""line_end"": 167, ""line_start"": 165, ""snippet"": ""    authorize do |u|\n      allow if u.role == :admin\n    end""}",
VpsAdmin::API::Resources::Outage::Create,VpsAdmin::API::Resources::Outage,Create,HaveAPI::Actions::Default::Create,admin_only,True,True,,,False,plugins/outage_reports/api/resources/outage.rb,233,262,,,"[""u.role == :admin""]",[],[],[],[],[],[],"[{""file"": ""plugins/outage_reports/api/resources/outage.rb"", ""kind"": ""inclass"", ""line_end"": 254, ""line_start"": 252, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n      end""}]","{""file"": ""plugins/outage_reports/api/resources/outage.rb"", ""kind"": ""inclass"", ""line_end"": 254, ""line_start"": 252, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n      end""}",
VpsAdmin::API::Resources::Outage::Index,VpsAdmin::API::Resources::Outage,Index,HaveAPI::Actions::Default::Index,public,False,False,,,False,plugins/outage_reports/api/resources/outage.rb,60,202,,,"[""u && u.role == :admin"", ""u"", ""(allow)""]",[],[],"[""affected"", ""user"", ""handled_by""]",[],"[""affected_user_count"", ""affected_vps_count"", ""auto_resolve""]",[],"[{""file"": ""plugins/outage_reports/api/resources/outage.rb"", ""kind"": ""inclass"", ""line_end"": 100, ""line_start"": 94, ""snippet"": ""      authorize do |u|\n        allow if u && u.role == :admin\n        output blacklist: %i[affected_user_count affected_vps_count auto_resolve]\n        allow if u\n        input blacklist: %i[affected user handled_by]\n        allow\n      end""}]","{""file"": ""plugins/outage_reports/api/resources/outage.rb"", ""kind"": ""inclass"", ""line_end"": 100, ""line_start"": 94, ""snippet"": ""      authorize do |u|\n        allow if u && u.role == :admin\n        output blacklist: %i[affected_user_count affected_vps_count auto_resolve]\n        allow if u\n        input blacklist: %i[affected user handled_by]\n        allow\n      end""}",
VpsAdmin::API::Resources::Outage::RebuildAffectedVps,VpsAdmin::API::Resources::Outage,RebuildAffectedVps,HaveAPI::Action,admin_only,True,True,{%{resource}_id}/rebuild_affected_vps,post,False,plugins/outage_reports/api/resources/outage.rb,291,307,,,"[""u.role == :admin""]",[],[],[],[],[],[],"[{""file"": ""plugins/outage_reports/api/resources/outage.rb"", ""kind"": ""inclass"", ""line_end"": 298, ""line_start"": 296, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n      end""}]","{""file"": ""plugins/outage_reports/api/resources/outage.rb"", ""kind"": ""inclass"", ""line_end"": 298, ""line_start"": 296, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n      end""}",
VpsAdmin::API::Resources::Outage::Show,VpsAdmin::API::Resources::Outage,Show,HaveAPI::Actions::Default::Show,public,False,False,,,False,plugins/outage_reports/api/resources/outage.rb,204,231,,,"[""u && u.role == :admin"", ""u"", ""(allow)""]",[],[],"[""affected""]",[],"[""affected_user_count"", ""affected_vps_count"", ""auto_resolve""]",[],"[{""file"": ""plugins/outage_reports/api/resources/outage.rb"", ""kind"": ""inclass"", ""line_end"": 218, ""line_start"": 212, ""snippet"": ""      authorize do |u|\n        allow if u && u.role == :admin\n        output blacklist: %i[affected_user_count affected_vps_count auto_resolve]\n        allow if u\n        input blacklist: %i[affected]\n        allow\n      end""}]","{""file"": ""plugins/outage_reports/api/resources/outage.rb"", ""kind"": ""inclass"", ""line_end"": 218, ""line_start"": 212, ""snippet"": ""      authorize do |u|\n        allow if u && u.role == :admin\n        output blacklist: %i[affected_user_count affected_vps_count auto_resolve]\n        allow if u\n        input blacklist: %i[affected]\n        allow\n      end""}",
VpsAdmin::API::Resources::Outage::Update,VpsAdmin::API::Resources::Outage,Update,HaveAPI::Actions::Default::Update,admin_only,True,True,,,False,plugins/outage_reports/api/resources/outage.rb,264,289,,,"[""u.role == :admin""]",[],[],[],[],[],[],"[{""file"": ""plugins/outage_reports/api/resources/outage.rb"", ""kind"": ""inclass"", ""line_end"": 279, ""line_start"": 277, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n      end""}]","{""file"": ""plugins/outage_reports/api/resources/outage.rb"", ""kind"": ""inclass"", ""line_end"": 279, ""line_start"": 277, ""snippet"": ""      authorize do |u|\n        allow if u.role == :admin\n      end""}",
VpsAdmin::API::Resources::Outage::Entity::Create,VpsAdmin::API::Resources::Outage::Entity,Create,HaveAPI::Actions::Default::Create,admin_only,True,True,,,False,plugins/outage_reports/api/resources/outage.rb,374,400,,,"[""u.role == :admin""]",[],[],[],[],[],[],"[{""file"": ""plugins/outage_reports/api/resources/outage.rb"", ""kind"": ""inclass"", ""line_end"": 387, ""line_start"": 385, ""snippet"": ""        authorize do |u|\n          allow if u.role == :admin\n        end""}]","{""file"": ""plugins/outage_reports/api/resources/outage.rb"", ""kind"": ""inclass"", ""line_end"": 387, ""line_start"": 385, ""snippet"": ""        authorize do |u|\n          allow if u.role == :admin\n        end""}",
